id,area,latitude,longitude,name
1,Bromma,59.332223,17.948369,Abrahamsbergsvägen
2,Bromma,59.358219,17.956068,"Adolfsbergsvägen 13"
3,Södermalm,59.312735,18.101793,Alsnögatan
4,Bromma,59.332763,17.975572,"Alviksvägen 1, vid Circle-K"
5,Södermalm,59.311278,18.104487,"Anders Frantzens park"
6,Älvsjö,59.28779,18.02739,"Annebodavägen 66"
7,Östermalm,59.354994,18.097574,"Artemisgatan, utanför 89:an"
8,Hässelby-Vällingby,59.392847,17.810403,"Backlöksvägen 22"
9,Hässelby-Vällingby,59.380322,17.834276,Backtimjegränd
10,Hässelby-Vällingby,59.383856,17.865026,Basgränd
11,Hässelby-Vällingby,59.390279,17.802263,"Bergmyntegrän Vändzon"
12,Bromma,59.341914,17.924862,Bergslagsvägen
13,Bromma,59.342852,17.907361,Bergslagsvägen/Vultejusvägen
14,Enskede-Årsta-Vantör,59.284283,18.097215,"Bersågränd 1/Åstorpsringen"
15,Södermalm,59.310093,18.078851,"Bjurholmsgatan 16"
16,Enskede-Årsta-Vantör,59.256448,18.036285,Bjursätragränd/Lurstigen
17,Hässelby-Vällingby,59.237727,17.963489,"Björnmossevägen 5"
18,Bromma,59.343816,17.886655,"Björnsongatan 4"
19,Hägersten-Liljeholmen,59.307158,17.996081,Blommensbergsvägen
20,Hässelby-Vällingby,59.367962,17.82092,"Blåklocksvägen 3"
21,Hägersten-Liljeholmen,59.300184,17.981744,Bokbindarvägen/Bäckvägen
22,Södermalm,59.313165,18.095827,"Bondegatan, Mittemot nr 79"
23,Södermalm,59.317784,18.034688,"Borgargatan 6"
24,Skärholmen,59.276796,17.896622,Brantholmsgränd
25,Bromma,59.353723,17.916996,"Bromma kyrka"
26,Spånga-Tensta,59.365565,17.916865,Brotorpsvägen-Arrendeväg
27,Enskede-Årsta-Vantör,59.288643,18.06062,"Bägersta Byväg/Sockenvägen"
28,Enskede-Årsta-Vantör,59.28998,18.064688,Bägerstavägen/Herrgårdsvägen
29,Enskede-Årsta-Vantör,59.271405,18.042651,"Bärbogränd 2"
30,Spånga-Tensta,59.376248,17.91963,"Cervins Väg/Duvbovägen"
31,Hässelby-Vällingby,59.369428,17.856177,"COOP Vinsta"
